3,4,2
0,7,1
19,0,7
11,0,111
0,3,274
0,2,1623
0,1,7456
13,3,1
12,1,4
2,4,11
1,2,356
0,5,7
1,0,3425
1,1,1198
13,0,61
13,1,5
0,4,49
3,2,50
6,0,892
6,1,51
12,0,61
6,3,1
6,2,9
2,1,600
2,0,20685
2,3,24
2,2,116
6,4,1
4,2,25
4,1,164
4,0,3119
9,2,2
9,3,1
9,0,237
9,1,17
7,0,570
7,1,24
5,0,1567
5,1,77
3,0,7726
3,1,273
20,0,7
3,3,13
19,1,1
1,4,9
7,2,4
17,0,15
17,1,1
5,3,2
10,3,1
10,2,1
10,1,12
10,0,145
16,1,3
16,0,23
8,1,19
8,0,339
4,3,3
5,4,1
28,0,1
11,2,3
7,3,2
4,4,1
1,3,55
26,0,1
29,0,1
25,0,2
8,3,1
24,0,1
24,1,1
15,0,21
15,1,3
5,2,9
11,1,2
18,0,13
22,0,5
11,3,2
21,0,5
8,2,4
23,0,4
14,1,4
14,0,48
