3296,4,3241,51        4903,0,1228,3675    641,0,248,393  76,0,41,35   9,0,8,1   0,0,0,0   1,0,1,0   0,0,0,0   0,0,0,0   0,0,0,0
28865,24633,678,3554  2101,531,389,1181   206,11,70,125  28,2,15,11   1,0,0,1   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0
9056,7882,209,965     492,207,74,211      67,14,26,27    16,1,9,6     1,0,0,1   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0
1417,1243,15,159      120,69,9,42         16,3,2,11      1,0,0,1      1,0,0,1   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0
261,227,1,33          36,15,2,19          5,0,0,5        4,1,1,2      0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0
29,28,0,1             10,5,1,4            0,0,0,0        1,0,1,0      0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0
9,8,0,1               2,1,0,1             0,0,0,0        0,0,0,0      0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0
0,0,0,0               0,0,0,0             0,0,0,0        0,0,0,0      0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0
0,0,0,0               0,0,0,0             0,0,0,0        0,0,0,0      0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0
0,0,0,0               0,0,0,0             0,0,0,0        0,0,0,0      0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   0,0,0,0   
